ts,Exit Time,Symbol,Side,Closed PnL,exec_fee,avgEntryPrice,avgExitPrice,qty,orderId,orderLinkId
1770733117992,2026-02-10 14:18:37,DOGEUSDT,Buy,-0.16710009,,0.09346,0.09367,534,e557c426-34ec-4649-8cf7-b0ffee868feb,
1770734361353,2026-02-10 14:39:21,XRPUSDT,Buy,0.18975441,,1.4111,1.4047,35.5,596f8b35-f5f6-4292-905b-efaf7e6f756b,
1770734597118,2026-02-10 14:43:17,AVAXUSDT,Buy,0.1050567,,8.777,8.752,5.7,6957e6d7-debc-4d60-9326-0e9e028759db,
1770735020504,2026-02-10 14:50:20,ETHUSDT,Buy,-0.02279709,,2000.07,1999.71,0.02,d68460cb-dc9b-4c2e-b9b5-1e22000c9867,
1770735048358,2026-02-10 14:50:48,BTCUSDT,Buy,-0.11028836,,68074.4,68133.6,0.001,0d6c8aab-c94c-408b-b996-4fb8ad65149e,
1770735061828,2026-02-10 14:51:01,ADAUSDT,Buy,-0.0928625,,0.2624,0.2626,190,232932d4-3db3-4b70-9e93-89e36c82f12e,
1770735179060,2026-02-10 14:52:59,DOGEUSDT,Buy,-0.20650296,,0.09232,0.0926,541,fa2323ab-24cc-4476-b126-fe49b7f66048,
1770735345271,2026-02-10 14:55:45,LINKUSDT,Buy,-0.08936466,,8.537,8.546,5.8,4c571caa-b3ed-47d4-aec0-ba2d455e65b3,
1770735844820,2026-02-10 15:04:04,SOLUSDT,Buy,-0.12102125,,83.6,83.75,0.5,fcb71dac-d0c7-4e70-b22c-bc2a26fcb99e,
1770735996350,2026-02-10 15:06:36,XRPUSDT,Buy,-0.0843864,,1.4022,1.40302753,35.6,fe8a31ad-08d1-479d-bb2c-e2981acbf6a4,
1770735996657,2026-02-10 15:06:36,ADAUSDT,Buy,-0.13090433,,0.2625,0.2629,190,9755e42b-50ac-437d-97e1-f9dc92598ee9,
1770735999105,2026-02-10 15:06:39,AVAXUSDT,Buy,-0.18608477,,8.758,8.781,5.7,93594850-cbd9-4994-a7dd-1cbe6962c09e,
1770738816615,2026-02-10 15:53:36,SOLUSDT,Buy,-0.10159475,,84.15,84.29,0.5,5a84db8c-39fb-49f6-9c3a-9a70a25dd558,
1770738901690,2026-02-10 15:55:01,ETHUSDT,Buy,-0.11876947,,2021.39,2025.81,0.02,0d41d4b9-671d-4283-bb7f-580198e07221,
1770739726317,2026-02-10 16:08:46,XRPUSDT,Buy,-0.06565478,,1.4037,1.404,35.6,cf2f94a6-ee71-4077-b48c-8a4a437299d6,
