ts,Exit Time,Symbol,Side,Closed PnL,exec_fee,avgEntryPrice,avgExitPrice,qty,orderId,orderLinkId
1770830183753,2026-02-11 17:16:23,SOLUSDT,Buy,-0.1794582,,78.62,78.86,0.6,8a60bf0e-9b78-4751-a5af-6a353fa81f8c,
1770833602483,2026-02-11 18:13:22,ETHUSDT,Buy,0.16101644,,1931.61,1921.44,0.02,b0066822-24ad-4b81-b16d-d8a1e4507ee7,
1770833608296,2026-02-11 18:13:28,LINKUSDT,Buy,0.1369842,,8.247,8.218,6,e10105c1-4a12-4133-b8c5-ef150aa03764,
1770833703833,2026-02-11 18:15:03,SOLUSDT,Buy,0.15186,,79.17,78.83,0.6,a4ed2916-2e22-4781-81bf-9a997ac955f9,
1770834493614,2026-02-11 18:28:13,BTCUSDT,Buy,-1.02568338,,66062.4,67038,0.001,b1aecee1-7945-4b59-8e88-3d9c19f299d9,
1770866530324,2026-02-12 03:22:10,TRXUSDT,Sell,-0.1317722,,0.27854,0.27811,179,408edca6-9a7e-4616-8124-a730aaff0328,
1770878550753,2026-02-12 06:42:30,BNBUSDT,Sell,-0.1089624,,616.7,615.8,0.08,08ad1583-155b-4879-8d7b-27575616badf,
1770889231399,2026-02-12 09:40:31,XRPUSDT,Sell,-0.00077344,,1.3873,1.3888,28.8,da54f654-8f8c-4613-b4f7-e4f09bd6a73c,
1770890082335,2026-02-12 09:54:42,TRXUSDT,Sell,-0.15292455,,0.27881,0.27829,179,1f8f76ce-cacd-4c11-945e-c8e8f34e60f9,
1770890257125,2026-02-12 09:57:37,AVAXUSDT,Sell,-0.03162768,,8.863,8.864,5.6,210bacc4-0bba-4cc3-af6a-765f4f219386,
1770890257431,2026-02-12 09:57:37,LINKUSDT,Sell,0.04574451,,8.483,8.498,5.8,1a06323c-39be-4ba6-86dd-3c7c1c4f6e99,
