datetime,ts,open,high,low,close,volume
2025-10-02 18:45:00+00:00,1759430700000,231.54,233.1,231.36,232.2,153185.4
2025-10-02 19:00:00+00:00,1759431600000,232.2,233.65,231.73,233.61,195137.8
2025-10-02 19:15:00+00:00,1759432500000,233.61,233.61,231.8,231.93,228983.4
2025-10-02 19:30:00+00:00,1759433400000,231.93,232.19,231.28,232.18,200977.3
2025-10-02 19:45:00+00:00,1759434300000,232.18,233.0,231.69,232.06,215579.1
2025-10-02 20:00:00+00:00,1759435200000,232.06,232.35,231.56,232.12,132092.0
2025-10-02 20:15:00+00:00,1759436100000,232.12,232.17,230.94,231.42,103404.5
2025-10-02 20:30:00+00:00,1759437000000,231.42,232.0,230.53,231.98,241293.4
2025-10-02 20:45:00+00:00,1759437900000,231.98,232.47,231.44,232.44,68895.5
2025-10-02 21:00:00+00:00,1759438800000,232.44,233.79,232.26,233.58,113024.4
2025-10-02 21:15:00+00:00,1759439700000,233.58,233.91,232.67,233.15,81510.0
2025-10-02 21:30:00+00:00,1759440600000,233.15,233.19,232.35,232.45,69544.4
2025-10-02 21:45:00+00:00,1759441500000,232.45,233.2,232.38,232.43,39175.8
2025-10-02 22:00:00+00:00,1759442400000,232.43,233.79,232.34,233.29,85622.3
2025-10-02 22:15:00+00:00,1759443300000,233.29,233.29,231.94,232.66,170177.4
2025-10-02 22:30:00+00:00,1759444200000,232.66,233.1,232.24,232.51,52523.4
2025-10-02 22:45:00+00:00,1759445100000,232.51,233.0,232.24,232.99,60358.1
2025-10-02 23:00:00+00:00,1759446000000,232.99,233.7,232.8,233.48,71234.1
2025-10-02 23:15:00+00:00,1759446900000,233.48,234.6,233.31,234.1,193801.7
2025-10-02 23:30:00+00:00,1759447800000,234.1,234.72,233.74,234.01,72516.3
2025-10-02 23:45:00+00:00,1759448700000,234.01,234.88,233.6,234.62,108026.7
2025-10-03 00:00:00+00:00,1759449600000,234.62,234.67,232.34,232.79,164860.3
2025-10-03 00:15:00+00:00,1759450500000,232.79,233.48,232.7,233.39,49743.0
2025-10-03 00:30:00+00:00,1759451400000,233.39,233.39,232.06,232.26,54103.0
2025-10-03 00:45:00+00:00,1759452300000,232.26,232.54,231.74,231.79,63690.6
2025-10-03 01:00:00+00:00,1759453200000,231.79,232.65,231.64,231.83,91652.0
2025-10-03 01:15:00+00:00,1759454100000,231.83,232.12,230.66,231.24,220123.0
2025-10-03 01:30:00+00:00,1759455000000,231.24,231.77,231.08,231.29,56216.9
2025-10-03 01:45:00+00:00,1759455900000,231.29,231.54,230.37,230.8,77824.4
2025-10-03 02:00:00+00:00,1759456800000,230.8,231.92,230.65,231.83,102675.3
2025-10-03 02:15:00+00:00,1759457700000,231.83,232.12,231.12,231.21,63345.0
2025-10-03 02:30:00+00:00,1759458600000,231.21,232.02,231.08,231.87,63029.7
2025-10-03 02:45:00+00:00,1759459500000,231.87,233.38,231.57,233.19,120650.8
2025-10-03 03:00:00+00:00,1759460400000,233.19,234.77,232.92,233.62,205014.6
2025-10-03 03:15:00+00:00,1759461300000,233.62,234.21,232.67,232.86,81199.4
2025-10-03 03:30:00+00:00,1759462200000,232.86,233.36,232.51,232.77,102751.8
2025-10-03 03:45:00+00:00,1759463100000,232.77,233.45,231.88,232.11,102161.2
2025-10-03 04:00:00+00:00,1759464000000,232.11,232.63,231.8,232.62,70197.5
